code,presence,cross_industry_name,life_science_name,retail_name,level,name_match,category
1.0,CI LS RT,Develop Vision and Strategy,Develop Vision and Strategy,Develop Vision and Strategy,1,ALL_IDENTICAL,UNIVERSAL
1.1,CI LS RT,Define the business concept and long-term vision,Define the business concept and long-term vision,Define the business concept and long-term vision,2,ALL_IDENTICAL,UNIVERSAL
1.1.1,CI LS RT,Assess the external environment,Assess the external environment,Assess the external environment,3,ALL_IDENTICAL,UNIVERSAL
1.1.1.1,CI LS RT,Identify competitors,Identify competitors,Identify competitors,4,ALL_IDENTICAL,UNIVERSAL
1.1.1.10,CI LS RT,Evaluate intellectual property,Identify trends in healthcare legislation,Evaluate IP acquisition options,4,DIFFERENT,UNIVERSAL
1.1.1.11,LS,,Identify trends in healthcare funding,,4,,LS_SPECIFIC
1.1.1.12,LS,,Identify trends in healthcare delivery,,4,,LS_SPECIFIC
1.1.1.13,LS,,Identify trends in healthcare patient engagement,,4,,LS_SPECIFIC
1.1.1.14,LS,,Identify intellectual property concerns,,4,,LS_SPECIFIC
1.1.1.15,LS,,Evaluate IP acquisition options,,4,,LS_SPECIFIC
1.1.1.2,CI LS RT,Analyze and evaluate competition,Analyze and evaluate competition,Analyze and Evaluate competition,4,DIFFERENT,UNIVERSAL
1.1.1.3,CI LS RT,Identify potential product or service alternatives,Identify economic trends,Identify economic trends,4,DIFFERENT,UNIVERSAL
1.1.1.4,CI LS RT,Identify economic trends,Identify political and regulatory issues,Identify political and regulatory issues,4,DIFFERENT,UNIVERSAL
1.1.1.5,CI LS RT,Identify political and regulatory factors,Identify trends in medicines and medical system regulation,Assess new technology innovations,4,DIFFERENT,UNIVERSAL
1.1.1.6,CI LS RT,Identify environmental factors,Assess new technology innovations,Analyze demographics,4,DIFFERENT,UNIVERSAL
1.1.1.7,CI LS RT,Identify social and cultural changes,Analyze demographics,Identify social and cultural changes,4,DIFFERENT,UNIVERSAL
1.1.1.8,CI LS RT,Assess new technologies,Identify social and cultural changes,Identify ecological concerns,4,DIFFERENT,UNIVERSAL
1.1.1.9,CI LS RT,Analyze demographics,Identify ecological concerns,Identify intellectual property concerns,4,DIFFERENT,UNIVERSAL
1.1.2,CI LS RT,Survey market and determine customer needs and wants,Survey market and determine customer needs and wants,Survey market and determine customer needs and wants,3,ALL_IDENTICAL,UNIVERSAL
